Name,Death_Claims_DC,Total_Value_DC,Average_Age_DC,Average_Claim_DC,SIC_Claims,Total_Value_SIC,Average_Age_SIC,Average_Claim_SIC,Average_Age_all_claims
Carlow,25," 1,489,105.74 ",66,59564,10,569863.18,58,56986,
Cavan,29,3317365.98,53,114392,21,"821,183.45",57,39104,
Clare,32,2837023.75,60,88657,20,1338678.39,51,66934,
Cork,181,11181960.46,65,61779,104,6040677.27,53,58083,
Donegal,25,1782587.99,56,71304,33,1885108.32,53,57124,
Dublin,682,51369883.29,65,75322,228,15958194.02,52,69992,
Galway,54,6829772.91,57,126477,30,2731128.48,50,91038,
Kerry,33,1738884.24,64,52693,16,4921512.9,59,307595,
Kildare,78,3859041.66,62,49475,33,1692296.17,52,51282,
Kilkenny,17,3480036.67,57,204708,18,1200686.88,53,66705,
Laois,23,1514462.2,67,65846,22,1407860.12,50,63994,
Leitrim,7,242457.01,64,34637,9,391587.14,52,43510,
Limerick,55,4841691.62,62,88031,20,1287300.55,53,64365,
Longford,20,1117328.8,64,55866,18,1045758,47,58098,
Louth,44,3873217.24,66,88028,35,2301442.45,55,65755,
Mayo,27,1483654.64,67,54950,19,1196534.24,55,62975,
Meath,68,6794424.02,60,99918,32,2252908.45,51,70403,
Monaghan,21,3229726.09,56,153796,18,970839.12,52,53936,
Offaly,23,1486185.68,61,64617,12,937616.94,53,78135,
Roscommon,11,1199260.72,60,109024,14,553385.38,54,39528,
Sligo,14,972626.04,66,69473,7,130160.4,40,18594,
Tipperary,57,2305472.71,63,40447,30,2085584.51,51,69519,
Westmeath,25,1252259.91,64,50090,24,1238258.48,49,51594,
Waterford,24,1944686.14,59,81029,18,1187479.82,52,65971,
Wexford,62,5729097.31,61,92405,29,1602296.56,52,55252,
Wicklow,41,3285276.7,62,80129,24,2056664.57,48,85694,
