Name,Death_Claims_DC,Total_Value_DC,Average_Age_DC,Average_Claim_DC,SIC_Claims,Total_Value_SIC,Average_Age_SIC,Average_Claim_SIC,Average_Age_all_claims
Carlow,23,1672232.21 ,63,72706,12,1185222.64,52,98769,
Cavan,66,1513136.33,66,22926,10,"552,411.66",53,55241,
Clare,30,1686141.58,62,56205,21,1196201.99,53,56962,
Cork,173,9293102.67,64,53717,88,5254841.01,52,59714,
Donegal,32,2412372.22,64,75387,26,1129626.64,53,43447,
Dublin,572,37927087.41,64,66306,286,17751305.01,43,62068,
Galway,91,6156599.65,66,67655,26,1432496.41,54,55096,
Kerry,54,4585883.32,61,84924,17,1446800.07,49,85106,
Kildare,55,3722759.22,62,67687,39,2771258.61,54,71058,
Kilkenny,28,1410725.72,65,50383,13,583555.21,54,44889,
Laois,17,613947.14,71,36115,16,713088.08,53,44568,
Leitrim,15,827598.2,64,55173,3,108641,53,36214,
Limerick,56,2672900.51,68,47730,36,2565245.86,54,71257,
Longford,20,2580321.36,57,129016,14,485933.63,49,34710,
Louth,47,3336589.71,64,70991,28,1969187.47,46,70328,
Mayo,38,2557529.09,64,67303,10,479966.4,53,47997,
Meath,82,5447365.65,61,66431,34,2417023.07,61,71089,
Monaghan,20,1043513.36,69,52176,12,847332.4,53,70611,
Offaly,25,1509514.92,59,60381,14,890477.47,58,63606,
Roscommon,19,1084864.22,62,57098,9,587717.21,59,65302,
Sligo,23,1686568.84,63,73329,7,468026.42,52,66861,
Tipperary,64,5158642.9,66,80604,40,2112481.28,43,52812,
Westmeath,25,2170455.17,59,86818,17,2219165.78,49,130539,
Waterford,52,3653349.14,66,70257,19,847822.4,50,44622,
Wexford,51,5431819.32,62,106506,32,1846817.95,55,57713,
Wicklow,47,3036960.12,64,64616,24,1378750.63,51,57448,
